[Person #0, Arrival Time: 26.136947663149105, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 28.503914265112474, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 29.08796481470916, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 29.67779617052134, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 29.927548631155815, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #69, Arrival Time: 26.94420235401638, Departure Time: 30.33078849490619, Wait Time: 3.3865861408898112, Time Boarded Lift: 30.33078849490619, Walker: False]
[Person #70, Arrival Time: 27.19790803200479, Departure Time: 30.33078849490619, Wait Time: 3.132880462901401, Time Boarded Lift: 30.33078849490619, Walker: False]
[Person #71, Arrival Time: 27.797836494622615, Departure Time: 30.33078849490619, Wait Time: 2.5329520002835757, Time Boarded Lift: 30.33078849490619, Walker: False]
[Person #72, Arrival Time: 20.443206353263964, Departure Time: 31.83078849490619, Wait Time: 11.387582141642227, Time Boarded Lift: 23.33078849490619, Walker: False]
[Person #73, Arrival Time: 27.04389929446671, Departure Time: 31.83078849490619, Wait Time: 4.786889200439482, Time Boarded Lift: 30.33078849490619, Walker: False]
[Person #74, Arrival Time: 23.903941933941425, Departure Time: 32.83078849490619, Wait Time: 8.926846560964762, Time Boarded Lift: 26.83078849490619, Walker: False]
[Person #75, Arrival Time: 27.114861367736488, Departure Time: 32.83078849490619, Wait Time: 5.715927127169699, Time Boarded Lift: 30.33078849490619, Walker: False]
[Person #76, Arrival Time: 27.420892500714004, Departure Time: 32.83078849490619, Wait Time: 5.409895994192183, Time Boarded Lift: 30.33078849490619, Walker: False]
[Person #0, Arrival Time: 28.828519923984228, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 31.348347112517278, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 31.63488212029496, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 32.08365937216033, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 32.87130102805354, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 33.0936633461184, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 33.728680398596325, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #77, Arrival Time: 30.970157995979932, Departure Time: 33.83078849490619, Wait Time: 2.8606304989262554, Time Boarded Lift: 33.83078849490619, Walker: False]
[Person #78, Arrival Time: 23.49994055919353, Departure Time: 35.33078849490619, Wait Time: 11.830847935712658, Time Boarded Lift: 26.83078849490619, Walker: False]
